city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bluff,23.0,AU,1578340962.0,79.0,-23.58,149.07,23.89,5.41
klaksvik,21.0,FO,1578340816.0,70.0,62.23,-6.59,6.0,12.9
kokstad,66.0,ZA,1578341022.0,98.0,-30.55,29.42,16.27,1.05
staraya poltavka,100.0,RU,1578341022.0,98.0,50.48,46.48,0.76,2.41
tuatapere,100.0,NZ,1578340934.0,87.0,-46.13,167.69,11.67,1.34
albany,40.0,US,1578340936.0,64.0,42.65,-73.75,4.44,3.1
kapaa,40.0,US,1578340773.0,78.0,22.08,-159.32,26.0,10.8
skibbereen,40.0,IE,1578341023.0,93.0,51.55,-9.27,5.0,3.6
maloshuyka,100.0,RU,1578340982.0,93.0,64.9,45.76,-9.52,3.44
leshukonskoye,0.0,PF,1578340869.0,72.0,-9.8,-139.03,26.59,6.61
atuona,40.0,CL,1578340665.0,59.0,-53.16,-70.91,16.0,7.7
punta arenas,100.0,RU,1578340940.0,93.0,63.29,118.35,-8.21,3.92
nyurba,47.0,NP,1578341023.0,90.0,28.21,83.99,7.26,0.88
pokhara,100.0,RU,1578340940.0,93.0,71.97,114.09,-15.88,2.44
saskylakh,20.0,GL,1578340970.0,31.0,60.91,-46.05,-17.0,3.1
narsaq,90.0,CL,1578340943.0,76.0,-42.48,-73.76,14.0,5.7
castro,91.0,PF,1578340930.0,71.0,-23.12,-134.97,24.67,6.08
palabuhanratu,1.0,US,1578340803.0,32.0,28.99,-80.9,20.56,2.6
rikitea,75.0,AU,1578340756.0,77.0,-42.78,147.06,15.0,3.1
edgewater,84.0,ID,1578340979.0,95.0,-8.49,140.4,24.22,2.16
new norfolk,100.0,ZA,1578340933.0,95.0,-33.59,26.89,20.56,4.28
merauke,90.0,AU,1578340806.0,100.0,-32.72,152.14,21.67,1.0
port alfred,100.0,GA,1578341024.0,91.0,-1.57,9.26,24.91,1.39
nelson bay,90.0,US,1578340766.0,58.0,43.66,-70.25,-3.0,3.1
omboue,1.0,US,1578341024.0,64.0,40.74,-114.07,2.0,2.6
portland,75.0,AR,1578340929.0,71.0,-54.81,-68.31,11.0,2.1
west wendover,100.0,MV,1578341025.0,75.0,5.77,73.38,28.25,8.9
ushuaia,90.0,US,1578340907.0,88.0,21.35,-158.09,26.0,4.1
manadhoo,40.0,MX,1578340968.0,18.0,23.99,-104.67,18.33,1.5
makakilo city,90.0,RU,1578340774.0,96.0,59.7,30.79,1.11,4.0
constitucion,1.0,US,1578340829.0,81.0,40.8,-124.16,12.22,2.1
nikolskoye,20.0,US,1578340777.0,37.0,39.31,-74.98,11.11,7.7
eureka,75.0,PT,1578340941.0,93.0,38.52,-28.7,18.0,6.7
port elizabeth,20.0,CA,1578341025.0,40.0,50.03,-66.88,-10.0,2.1
ribeira grande,20.0,GY,1578340725.0,70.0,6.8,-58.16,30.0,3.1
belushya guba,100.0,ZA,1578340760.0,68.0,-33.93,18.42,20.0,7.7
port-cartier,19.0,BR,1578340769.0,86.0,-20.63,-46.0,23.98,1.6
georgetown,0.0,CK,1578340950.0,88.0,-21.21,-159.78,25.0,4.6
cape town,24.0,RU,1578341026.0,97.0,51.31,119.61,-20.22,1.46
ponta do sol,0.0,PE,1578340765.0,69.0,-12.06,-77.04,25.0,7.2
avarua,40.0,CA,1578340968.0,73.0,69.44,-133.03,-34.0,3.1
nerchinskiy zavod,0.0,AU,1578340804.0,72.0,-31.95,115.86,20.56,2.6
